NOMBRE,DOMICILIO,LOCALIDAD,PROVINCIA,TELEFONO,EMAIL,"SITIO WEB",TIPO,AUDIENCIA,ALCANCE,PAUTA,COMENTARIOS
"Aconcagua SA",,,,,,,,,,,
"Administradora Ring SRL",,,,,,,,,,,
"AGEA &#8211; Arte Gráfico Editorial Argentino S.A.","Tacuarí 1842, CABA",,,"11 4348 7777",pfasanella@agea.com.ar,http://comercial.agea.com.ar/,Editorial,,,,
"AGL &#8211; Artes Gráficas del Litoral SA","Planta en Parque Industrial Sauce Viejo, Ruta Nº 11 Km. 457, Provincia de Santa Fé",,,"0342-499 5380",carranza@aglsa.com.ar,https://www.aglsa.com.ar/,Impresora,,,,
"Ahora Mamá SA",,,,,,,Editorial,,,,
"Alta Densidad SRL","Av. Juan de Garay 130, CABA",,,,,,"Servicios de publicidad",,,,
"América Inversora SA",,,,,,,"Gestión Empresarial",,,,
"América Medios SA",,,,,,,"Productora Audiovisual",,,,
"América TV SA",,,,,,,"Productora Audiovisual",,,,
"Area Digital SA",,,,,,,,,,,
"ArLink SA",,,,,,,"Servicios de internet",,,,
"ARTEAR &#8211; Arte Radiotelevisivo Argentino SA","Cochabamba 1153, CABA",,,,,http://www.artear.com/es/,"Productora Audiovisual",,,"1,073,468.48",
"ARTEARGENTINA S.A.","Maipú 1210, piso 8, CABA",,,,,http://www.arteargentina.com/,"Productora Audiovisual",,Nacional,,
"Artes Gráficas Rioplatenteses SA &#8211; AGR","Corrales 1393, CABA",,,,contacto@agr.com.ar,http://www.agr.com.ar/,Impresora,,,,
"AS Minor SA","Tacuarí 1959, CABA",,,,,,"Gestión Empresarial",,,,
"AT&#038;T International",,,,,,,,,,,
ATCO,,,,,,,,,,,
"Atlántida Comunicaciones Sociedad Anónima",,,,,,,,,,,
"Atlántida Digital SA",,,,,,,,,,,
"Auto Sports SA","Tacuarí 1959, CABA",,,,,,"Productora Audiovisual y de Eventos",,,,
"BAE Negocios SA",,,,,,,,,,,
"Balkburg SA",,,,,,,,,,,
"Banco de Santiago del Estero SA",,,,,,,"Entidad Financiera",,,,
"Bariloche 2000 SA","Ruta Nacional 237 Km. 1638, Bariloche, Río Negro",,,,,https://www.bariloche2000.com/,Portal,,,,
"Bariloche TV SA",,,,,,,,,,,
"Bedea SA",,,,,,,,,,,
"BTC Bariloche Televisora Color SA",,,,,,,,,,,
"BTC Bariloche Televisora Color SA",,,,,,,,,,,
"Cable Televisora Color SA",,,,,,,"TV Paga",,,,
"Cable Televisora Color SA",,,,,,,,,,,
"Cadena de Radio Eco S.A",,,,,,,,,,"449,862.00",
"Cadena País Producciones Publicitarias SA",,,,,,,Publicidad,,,,
"Canal Rural Satelital SA",,,,,,,,,,,
"Caras TV",,,,,,,,,,,
"Carburando SAPICAFI",,,,,,,,,,,
"Carriersat SA","Lima 1261, CABA",,,,,,"Servicios Satelitales de Radio y Televisión",,,,
"Casino Golden SA",,,,,,,,,,,
"CASTV SA",,,,,,,,,,,
"CHL S.A.",,,,,,,,,,,
"Cien Radios SA","Mansilla 2668, CABA",,,5168-0790,,http://www.cienradios.com/,"Portal de Streaming",,,"170,000.00",
"CIM SA",,,,,,,,,,,
"CIMECO &#8211; Compañia Inversora en Medios de Comunicación SA","Colonia 170",,,,,,Editorial,,,,
"Cintelba SA",,,,,,,,,,,
"Clawi SA",,,,,,,,,,,
"Click On Argentina Srl",,,,,,,,,,,
"CM TV y Publicidad SA",,,,,,,,,,,
"CMD SA","Avenida Colonia 170, CABA",,,11-4943-8700,info@cmd.com.ar,https://cmd.com.ar/,"Desarrolladora Web",,,,
"Comercializadora de Medios del Interior SA",,,,,,,,,,,
"Comintel SA",,,,,,,,,,,
"Compañia de Recreativos Argentina UTE",,,,,,,,,,,
"Comunidad Virtual SA",,,,,,,,,,,
"Consultora Dircom SA",,,,,,,,,,,
"Corporación Argentina de Radiodifusión SA",,,,,,,,,,,
"Corporación Iberoamericana de Comunicación SA","Uriarte 1899",,,,,,"Gestión Empresarial",,,,
"Corporación Iberoamericana de Medios SA","Uriarte 1899",,,,,,"Gestión Empresarial",,,,
"Corporación Luxor SA",,,,,,,,,,,
"Covedisa SA","Patagones 2847 Piso 4, CABA",,,6090-5000,,http://www.covedisa.com.ar/,"Desarrollador Web",,,,
"Cúspide Libros SA","TACUARÍ 1842 (C1139AAN) CABA",,,,,http://www.cuspide.com/,Librerias,,,,
"DecoTeve SA",,,,,,,,,,,
"Demibell SACIFel",,,,,,,,,,,
"Deportes y Espectáculos SA",,,,,,,,,,,
"Desarrollos Electrónicos Informáticos SA",,,,,,,,,,,
"Diario BAE SA",,,,,,,,,,,
"Diario Digital SA",,,,,,,,,,,
"Diario Los Andes Hermanos Calle SA",,,,,,,,,,,
"Diarios y Noticias SA",,,,,,,,,,,
"Diaro Perfil SA",,,,,,,,,,,
"Difusora Austral SA",,,,,,,,,,,
"Difusora Baires SA",,,,,,,,,,,
"Difusora Entrerriana SA de Radio y Televisión",,,,,,,,,,,
"DirecTV Argentina",,,,,,,,,,,
"DIRECTV Latin America",,,,,,,,,,,
"Directv Sports","Balcarce 510",,,,,https://www.directvsports.com/,"TV Paga",,Nacional,,
"Discovery Networks International LLC","Av. del Libertador 101, Vicente López",,,"4000 4031",lucas_Puliani@discovery.com,,"TV Paga",,Nacional,,
"EDESE SA","Av. Roca Sur 214, Santiago del Estero",,,,,http://www.edese.com.ar/,"Distribuidora de electricidad",,"Santiago del Estero",,
"Ediciones Atlántida SA",,,,,,,Editorial,,,,
"Ediciones Paparazzi SA",,,,,,,Editorial,,,,
"Ediciones Santillana",,,,,,,Editorial,,,,
"Editorial Amfin SA",,,,,,,Editorial,,,,
"Editorial Apache SA",,,,,,,Editorial,,,,
"Editorial Arenas del Atlántico SA  La Prensa SA",,,,,,,Editorial,,,,
"Editorial Atlántida SA","Azopardo 565, CABA",,,,,http://www.atlantida.com.ar/,Editorial,,,,
"Editorial Diario La Capital SA",,,,,,,Editorial,,,,
"Editorial El Atlántico SA",,,,,,,Editorial,,,,
"Editorial La Capital SA",,,,,,,Editorial,,,,
"Editorial La Página SA",,,,,,,Editorial,,,,
"Editorial La Razón SA",,,,,,,Editorial,,,,
"Editorial Perfil SA","California 2715, CABA",,,,,,Editorial,,,,
"Editorial Polar SA",,,,,,,Editorial,,,,
"Editorial Sarmiento SA","Juan de Garay 130/140, CABA",,,5550-8600,cronicaweb@grupocronica.com,,Editorial,,,,
"El Alamo SA",,,,,,,,,,,
"El Cronista Comercial SA","Paseo Colón 746 - 1º (C1063ACU)",,,"(+54 11) 4121-9300/9344/9241",publicidad@cronista.com,www.cronista.com,Diario/Periódico,,,,
"El Dia SAICyF",,,,,,,,,,,
"El Jardín de la Argentina SA",,,,,,,,,,,
"El Liberal SA",,,,,,,,,,,
"El Solaz SRL",,,,,,,,,,,
"Electroingeniería SA",,,,,,,,,,,
"Emprendimientos Corporativos SA",,,,,,,,,,,
"Enfisur Sociedad Anónima",,,,,,,,,,,
"ESPN Sur SRL",,,,,,,,,,,
"Estante SA","Pasaje H. Ascasubi 3282",,,,,,"Servicios Integrales para Editoriales – Distribuidor Mayorista de Libros",,,,
"Estrellas Satelital SA",,,,,,,,,,,
"Estudios Baires SA","Rincón 701, Don Torcuato",,,,,,"Estudios de Televisión",,,,
"Eventos Producciones SA",,,,,,,,,,,
"Exposiciones Activas SA","L. N. Alem 628 3º, CABA",,,,,,"Productora de Eventos",,"Vendida a Caju Norte SA",,
"Facilcred SA",,,,,,,Créditos,,Discontinuado,,
"Fénix Entertainment Group SA",,,,,,http://fenix.com.ar/,,,,,
"Ferias y Exposiciones Argentinas SA","Tacuarí 1846",,,4309-7663,infofyea@fyea.com.ar,http://www.fyea.com.ar/,"Productora de Eventos",,,,
"Fio Fio Producciones S.A",,,,,,,,,,,
"FM Aeropuerto SRL",,,,,,,,,,,
"FM Del Mar SRL",,,,,,,,,,,
"FM Diez La 99.1 SA",,,,,,,,,,,
"FM La Redonda SA &#8211; El Dia SA",,,,,,,,,,,
"Fox Networks Group Latin America","Honduras 5517",,,4103-1100,,https://foxplay.com,"TV Paga",,Nacional,,
"Frecuencia Producciones Publicitarias SA",,,,,,,,,,,
"Full Express SRL","Pichincha 3712, San Justo",,,,,,"Servicio de Correo",,Discontinuado,,
"Fundación Cultural","Independencia 56 2º, Santiago del Estero",,,"0385) 422 5556",info@fundacioncultural.org,http://www.fundacioncultural.org/,"Organización de la sociedad civil",,,,
"Fundación Grupo América SA",,,,,,,"Organización de la sociedad civil",,,,
"Fundación Hamburgo","Independencia 56 1º, Santiago del Estero",,,,,,"Organización de la sociedad civil",,,,
"Fundación La Nación","Av. Del Libertador 101, Vicente López",,,6090-5555,fundacion@lanacion.org.ar,http://www.fundacionlanacion.org.ar/,"Organización de la sociedad civil",,,,
"Fundación Litoral",,,,,,,"Organización de la sociedad civil",,,,
"Fundación Noble","Dr. E. Finochietto 872",,,4309-7513/3436,fundacionnoble@grupoclarin.com,http://www.fundacionnoble.org.ar/,"Organización de la sociedad civil",,,,
"Fundación Octubre Trabajadores de Edificios","Venezuela 370, CABA",,,5354-6610,,http://www.octubre.com/,"Organización de la sociedad civil",,,,
"Fundación Perfil",,,,,,,"Organización de la sociedad civil",,,,
"Garey SA",,,,,,,,,,,
"Garey SA",,,,,,,,,,,
"GC Gestión Compartida SA","Patagones 2550",,,,,https://www.gcgestion.com.ar/,"Gestión Empresarial",,,,
"GC Investments",,,,,,,,,,,
"GC Minor SA","Piedras 1743, CABA",,,,,,"Gestión Empresarial",,,,
"Gestión de Riegos SA",,,,,,,,,,,
"GLR Services Inc.",,,,,,,,,,,
"GP Producciones SA",,,,,,,,,,,
"Gratuitos del Aire SA",,,,,,,,,Discontinuado,,
"Gregorio Fridman/Ronda",,,,,,,,,,,
"Grupo Albavisión","Av. Dorrego 1708, CABA",,,3220-9999,,,,,,,
"Grupo Cadena 3 Argentina",,,,,,,,,,,
"Grupo Infobae","Costa Rica 5639",,,4852-8800,,https://www.infobae.com/,,,,,
"Grupo Q SA",,,,,,,,,,,
"Grupo Televisión Litoral S.A.",,,,,,,,,,,
"Grupo TV-SA","Av. Ricardo Balbín 3311",,,45454000,rr.hh@tv-sa.com.ar,http://www.tv-sa.com.ar/,,,"Rosario, Salta, Santiago del Estero",,
"Guido A. Anghilante  Uno Multimedios",,,,,,,,,,,
"Hamburgo CIA de Seguros SA",,,,,,,,,,,
"HBO Latin America Group",,,,,,,"TV Paga",,,,
"Hermitage SA",,,,,,,,,,,
"HFS Media SA","Av. Dorrego 1782, CABA",,,,,,"Gestión Empresarial",,,,
"Hola SA",,,,,,,,,,,
"Hotel Carlos V UTE",,,,,,,,,,,
"HSM Argentina SA",,,,,,,,,,,
"Ideas del Sur SA","Olleros 3555, CABA",,,,,http://www.ideasdelsur.com.ar/,"Productora Audiovisual y Estudios de Televisión",,,,
IESA,"Piedras 1743, CABA",,,,,http://www.iesatv.com.ar/,"Productora Audiovisual",,,,
"IGD SA",,,,,,,,,,,
"Imagen Radial SA",,,,,,,,,,,
"IMC Radios SA",,,,,,,,,,,
Impripost,"Planta en Constituyentes 3702, Gral. Pacheco,  Bs As",,,,,http://www.impripost.com.ar/,"Impresora – Gestión y Logística de Documentos",,,,
"Indalo Media &#8211; Grupo Ceibo",,,,,,,,,,,
"Infomedia Producciones SA","Freire 932",,,4010-8200,,http://www.infomedia.com.ar/,"Editorial – Productora Audiovisual",,,,
"Instituto de Ayuda Económica Mutual","Bdo de Irigoyen 330 Piso 3° Oficina 153, CABA",,,5219-4742,contacto@iaem.org.ar,http://www.iaem.org.ar/,,,,,
"Instituto Superior Octubre",,,,,,,"Entidad Educativa",,,,
"Interwa SA",,,,,,,,,,,
"Inversora de Eventos SA",,,,,,,,,,,
"IPESA SA",,,,,,,,,,,
"Jorge Estornell SA",,,,,,,,,,,
"Junín TV SA",,,,,,,,,,,
"La Corte SA  Prensa Satelital SA",,,,,,,,,,,
"LA GACETA S.A.","Mendoza 654, S.M. Tucumán",,,"381 5870289",comercial@lagaceta.com.ar,http://www.lagaceta.com.ar/,Diario,,Tucuman,,
"La Política Online S.A.","Av. Callao 625 - P 5°",,,,,http://www.lapoliticaonline.com/,Portal,,,"946,660.00",
"La Prensa SA",,,,,,,,,,,
"La Quinta Columna SA",,,,,,,,,,,
"La revista de Susana",,,,,,,,,,,
"La Voz del Interior SA",,,,,,,,,,,
"Latin American Sports SA",,,,,,,,,,,
"LC Producciones SA",,,,,,,,,,,
"LS4 Radio Continental SA","Rivadavia 835, Ciudad Autónoma de Bs.As.",,,,,http://www.continental.com.ar/,Radio,,,,
"Magna Inversora SA","Piedras 1743, CABA",,,,,,"Gestión Empresarial",,,,
"Man Press SA",,,,,,,,,,,
"Manucorp SA",,,,,,,,,,,
"Mareuba SA","Urquiza 641, Río Cuarto, Cordoba",,,"(0358) 4642320",info@mareuba.com,http://www.mareuba.com/,Tambo,,Córdoba,,
"Marketing y Publicidad SRL",,,,,,,,,,,
"Media Investments SA",,,,,,,,,,,
"Medios de Comunicación Entre Ríos SA",,,,,,,,,,,
"Medios de Comunicación Entre Ríos SA  Mario Chesini",,,,,,,,,,,
"Medios de Comunicación Santa Fé SA",,,,,,,,,,,
"Medios del Interior SA",,,,,,,,,,,
"Medios y Participaciones SA","Uriarte 1899",,,,,,"Gestión Empresarial",,,,
"Megavision Santiago SA",,,,,,,,,,,
"Mercurio SA",,,,,,,,,,,
"Metropoli Publicidad Exterior SRL  VP Inversora SA",,,,,,,,,,,
"MTV Networks Argentina SRL",,,,,,,,,,,
"Multimedios del Oeste SA",,,,,,,,,,,
"Multimedios La Capital SA",,,,,,,,,,,
"Multimedios Norte SA  Horizontes SA",,,,,,,,,,,
"Mundo Show SA",,,,,,,,,,,
"Nefir SA",,,,,,,,,,,
"Nihuil SA",,,,,,,,,,,
"NRG SA",,,,,,,,,,,
"Nueva Consorcio de Cooperación Aver SA",,,,,,,,,,,
"Nuevo Vehículo Aire 2  G Uno SA",,,,,,,,,,,
"Oportunidades SA","Av. Corrientes 526, CABA",,,,,https://receptoriaonline.clarin.com/rol/crearaviso/crear-aviso,"Administradora de Receptorías de Anuncios",,,,
"Papel 2.0 SA",,,,,,,,,,,
"Papel Prensa SA","Bartolomé Mitre 739, CABA",,,4834-5005,comercializacion@papelprensa.com.ar,http://www.papelprensa.com/,"Celulosa de Papel",,,,
"Papelera Tucumán SA","J. M. de Rosas 2860, San Justo",,,"3977 1111",ventas@papeleratucuman.com.ar,www.papeleratucuman.com.ar/,Papelera,,,,
"Parque de la Paz SA","Misiones 515, Santiago del Estero",,,"385) 421-4262",,http://www.parquedelapaz.com.ar/,Cementerio,,,,
"Patagonik Film Group SA","Av. Scalabrini Ortiz 764, CABA",,,"11 4777 7200",info@patagonik.com.ar,http://www.patagonik.com.ar/,"Productora Audiovisual Cinematográfica",,,,
"PEGSA Group SA",,,,,,,,,,,
"Perfil Entretenimientos SA",,,,,,,,,,,
"Perfil Periódicos SA",,,,,,,,,,,
"Perfil Radiodifusiones SA",,,,,,,,,,,
"Perfil TV SA",,,,,,,,,,,
"Pol-Ka Flehner SA","Jorge Newbery 3449, Colegiales, CABA",,,"011 4588-9200",contacto@pol-ka.com.ar,http://www.pol-ka.com/,"Productora Audiovisual",,Discontinuada,,
"Pol-Ka Producciones SA","Jorge Newbery 3449, Colegiales, CABA",,,"011 4588-9200",contacto@pol-ka.com.ar,http://www.pol-ka.com/,"Productora Audiovisual",,,,
"Prensa y Medios Santafesinos del Sur SA",,,,,,,,,,,
"Prime Argentina SA","Av. Dorrego 1782, CABA",,,,,,"Gestión Empresarial",,,,
"Primicias Ya SRL",,,,,,,,,,,
"Prisa Radio",,,,,,,,,,,
"Producciones Publiexpress SA",,,,,,,,,,,
"Productora Federal SA",,,,,,,,,,,
"Produfe SA",,,,,,,,,,,
"Protel Patagónica SRL",,,,,,,,,,,
"Publicaciones Publiexpress SA","Magallanes 1346",,,,editor@magallanesmedia.com.ar,http://www.publiexpress.com.ar/,Editora,,,,
PubliexitoSA,,,,,,,,,,,
"Publirevistas SA",,,,,,,,,,,
"QB9 SA",,,,,,,,,,,
"Radio 3 Mendoza SA",,,,,,,,,,,
"Radio 3 SA",,,,,,,,,,,
"Radio Cultura SA",,,,,,,,,,,
"Radio Emisora Cultural S.A.",,,,,,,,,,,
"Radio Estereo SA",,,,,,,,,,,
"Radio Inversiones SA",,,,,,,,,,,
"Radio Libertad SA",,,,,,,,,,,
"Radio Los Cerros SA",,,,,,,,,,,
"Radio Medios SA",,,,"Gestión Empresarial",,,,,"Chile 1180, Pilar, Buenos Aires",,
"Radio Mitre SA",,,,,,,,,,,
"Radio Panda SRL",,,,,,,,,,,
"Radio Productora 2000 SA",,,,,,,,,,,
"Radio Puerto SA",,,,,,,,,,,
"Radio Satel SA",,,,,,,,,,,
"Radio Vision Jujuy S.A.",,,,,,,,,,,
"RADIO Y TELEVISIÓN ARGENTINA SE",,,,,,,,,,,
"Radiodifusora del Centro SA",,,,,,,,,,,
"Radiodifusora Del Plata SA",,,,,,,,,,,
"RADIODIFUSORA INDEPENDENCIA SRL.",,,,,,,,,,,
"Radiodifusora Metro SA","Freire 932",,,,,http://www.metro951.com,Radio,,,,
"Radiodifusora Net SA",,,,,,,,,,,
"Radiodifusora NOA SRL",,,,,,,,,,,
"Real Time Solutions SA",,,,,,,,,,,
"Red Celeste y Blanca SA",,,,,,,,,,,
"Representación Comercial Gobierno de Río Negro",,,,,,,,,,,
"Representación Comercial Televisora de Tucumán SA",,,,,,,,,,,
"Representación Comercial TV Resistencia SA",,,,,,,,,,,
"Revistas Deportivas &#8211; Comunidad Virtual SA",,,,,,,,,,,
"Revistas Deportivas SA",,,,,,,,,,,
"Rolling Stone (Argentina), Joint venture Rolling Stone LLC y SA La Nación",,,,,,,,,,,
"Ronda Studios SA",,,,,,,,,,,
"Rosario Difusión SA",,,,,,,,,,,
RPMB,,,,,,,,,,,
"SA La Nación",,,,,,,,,,,
"SA The Buenos Aires Herald Ltd","Av. San Juan 141",,,,,http://www.managementherald.com.ar/,Diario,,Discontinuado,,
"San Isidro Labrador SA","Av. Centenario 456 7mo. Piso",,,,,http://www.labrador955.com.ar/,Radio,,"San Isidro",,
"San Luis CTV SA",,,,,,,,,,,
"Santa Cruz SRL",,,,,,,,,,,
"Screen Star SA",,,,,,,,,,,
"Señal Mendoza SA",,,,,,,,,,,
"Send TV Producciones",,,,,,,,,,,
"Si Musica SA",,,,,,,,,,,
"Sociedad de Editores ABC1 S.R.L.",,,,,,,,,,,
"Soluciones Logísticas SA",,,,,,,,,,,
"Sony Pictures Television Latin America",,,,,,,,,,,
Supercanal,"General Paz 323",Mendoza,Mendoza,"0810 2227873",clientes@supercanal.tv,http://supercanal-arlink.com.ar,,,Mendoza,,
"CVI Austral LLP",,,,,,,,,,,
"T&#038;T Sports Marketing Ltd.",,,,,,,,,,,
"Tecnología Digital SA",,,,,,,,,,,
"TELAM SE","Bolivar 531, CABA",,,"4339 0300",,http://www.telam.com.ar/,"Agencia de noticias",,,,
"Tele Imagen Codificada SA",,,,,,,,,,,
"Tele Imagen Codificada SA",,,,,,,,,,,
"Tele Imágen Codificada SA",,,,,,,,,,,
"Telearte SA",,,,,,,,,,,
"TeleCentro SA","Juan Manuel de Rosas 635, San Justo",,,,,www.telecentro.com.ar,"Proveedor Triple Play – UHF",,"CABA / GBA",,
"Telecor SACI",,,,,,,,,,,
"Teledifusora Bahiense SA",,,,,,,,,,,
"Teledifusora SA",,,,,,,,,,,
"Teleinde &#8211; Teleproducciones Independientes SA","Fleming 1101, Martinez",,,,,,"Estudios de Televisión",,,,
"Telepiu SA",,,,,,,,,,,
"Telesol SA",,,,,,,,,,,
"Televisa Argentina SA","Azopardo 275 3º y Av. Paseo Colón 275 10º, CABA",,,4000-8300,,http://www.televisa.com.ar/,,,,,
"Televisión ABC SA",,,,,,,,,,,
"Televisión Digital Argentina SA",,,,,,,,,,,
"Televisión Federal &#8211; Telefe SA",,,,,,,,,,,
"Televisión Federal SA",,,,,,,,,,,
"Televisión Federal SA  Compañia de Radio y Televisión del Noroeste SA",,,,,,,,,,,
"Televisión Federal SA  Compañia de Televisión del Atlántico SA",,,,,,,,,,,
"Televisión Federal SA  Compañia Surera de Inversiones SA  Difusión Córdoba SA",,,,,,,,,,,
"Televisión Federal SA  Televisora Santafesina SA",,,,,,,,,,,
"Televisión Federal SA  Televisora Tucumana Color SA",,,,,,,,,,,
"TELEVISION ORIENTADA S.A.",,,,,,,,,,,
"Televisora Federal SA  Emisora Arenales de Radiodifusión SA  Compañia de Televisión del Atlántico SA",,,,,,,,,,,
"Territorio Digital S.A.",,,,,,,,,,,
"TEVEFE COMERCIALIZACION S.A.",,,,,,,,,,,
"The Walt Disney Company (Argentina) SA","Chile 1180, Pilar, Buenos Aires",,,,,,"Productora Audiovisual",,,,
"THX Medios SA",,,,,,,,,,,
"Tinta Fresca","Av. Corrientes 526",,,,,http://www.tintafresca.com.ar/,Editorial,,,,
"Torneos Network SA",,,,,,,,,,,
"Torneos y Competencias SA",,,,,,,,,,,
"Torneos y Competencias SA en sociedad con DirecTV Latin America Inc",,,,,,,,,,,
"Traffic Sports Marketing",,,,,,,,,,,
Tribul,,,,,,,,,,,
"TRISA Tele Red Imagen SA",,,,,,,,,,,
"TSC Televisión Satelital Codificada SA",,,,,,,,,,,
"TST Telelevisión Digital Satelital Codificada SA",,,,,,,,,,,
"Turner Broadcasting System, Inc.",,,,,,,,,,,
"Turner International Argentina S.A.","Defensa 599 2ndo piso (1065), CABA",,,"011 4318-3100",Carina.Risso@turner.com,https://www.turnerargentina.com/,,,,,
"TV Río Diamante SA",,,,,,,,,,,
"TV Río Diamante SA",,,,,,,,,,,
"Underground Producciones SA","José A Cabrera 5846, CABA",,,"4 771-7905",info@undertv.tv,http://www.undertv.tv/,"Productora Audiovisual",,,,
"Unionpel SA",,,,,,,,,,,
"UNIR SA","Pasaje H. Ascasubi 3282",,,4879-9100,,http://www.correounir.com.ar/,"Correo Privado",,,,
"Universidad Metropolitana para la Educación y  el Trabajo",,,,,,,,,,,
"Uno Gráfica SA",,,,,,,,,,,
"Uno Multimedios SA",,,,,,,,,,,
"Vi-Da Producciones SA","Costa Rica 5639, Palermo",,,"4852 8800",,http://www.grupovi-da.com/,"Editorial – Productora Audiovisual",,,,
"Via Rosario SA",,,,,,,,,,,
"Viacom Camden Lock Limited",,,,,,,,,,,
"Viacom International, Inc",,,,,,,,,,,
"Viacom Media Argentina Sociedad Anónima",,,,,,,,,,,
"VIMN The Americas",,,,,,,,,,,
"Vincent Entertainment SA  Cuyo Producciones SA",,,,,,,,,,,
"Virtual Tango SA",,,,,,,,,,,
"Voces SA",,,,,,,,,,,
"Vorterix SA",,,,,,,,,,,
"Votionis SA",,,,,,,,,,,"– Radio Fónica"
"Microsoft Corporation",,,,,,,,,,,
"Campana Noticias SRL","San Martín 451",Campana,"Buenos Aires",03489-420760,contacto@campananoticias.com,http://www.campananoticias.com,,,,,
"PLATAFORMA DIGITAL S.A.",,Mendoza,Mendoza,,,,,,,,
"Big Media","Sarmiento 250 ",Mendoza,Mendoza,"0261 429-9925",sebaspotti@bigmediaargentina.com.ar,,,,,,
"Universidad Nacional de Cuyo","Centro Universitario",Mendoza,Mendoza,"261 4135000",,http://www.uncuyo.edu.ar/,,,,,
"La Opinión Semanario SRL","Liniers 71","San Pedro","Buenos Aires","03329 - 420100",publicidad@laopinionsemanario.com.ar,https://www.laopinionsemanario.com.ar/,"Medio gráfico y digital",,,,
"Editorial Chaco S.A.","Carlos Pellegrini 744",Resistencia,Chaco,"362 4451222",,,,,,,
"Amacom Media SRL",,,,,,,,,,,
