NOMBRE,DOMICILIO,LOCALIDAD,PROVINCIA,TELEFONO,EMAIL,"SITIO WEB",TIPO,AUDIENCIA,ALCANCE,PAUTA,COMENTARIOS
"AT&#038;T Inc.","Juana Manso 555",CABA,buenos-aires,"11 5297 9501",,,,,,,
"Buena Vista International, Inc.",,,,,,,,,,,
"Buena Vista International, Inc. &#038; Agustín Pichot",,,,,,,,,,,
"Corporación Infomedia SA","Freire 948",CABA,buenos-aires,"11 4556 2900",,,,,,,
"Diarios Bonaerenses S.A.","Calle 48 Nº 726 Piso 4","La Plata",buenos-aires,"0221 422 0084/0054",,,,,,,
"DLJ Merchant",,,,,,,,,,,
"DMRT SA -Ex Grupo Uno SA-","Reconquista 672",CABA,buenos-aires,,,,,,,,
"Emprendimientos Terminal SA","Alberti 1610","Mar del Plata",buenos-aires,,,,,,,,
"Fox Networks Group","Honduras 5517",CABA,buenos-aires,4103-1100,,https://foxplay.com,"TV Paga",,Nacional,,
GDN,"Paseo Colón 740/6",CABA,buenos-aires,,,,,,,,
"Grupo Clarín S.A.","Piedras 1743",CABA,buenos-aires,"11 4309 7500",institucional@grupoclarin.com,http://www.grupoclarin.com/,,,,,
"Grupo ELING","Reconquista 575",CABA,buenos-aires,"5171 3300",,,,,,,
"Grupo ICK en Sociedad con Gobierno de Santiago del Estero","Andes 101 e Independencia 56","Santiago del Estero",santiago-del-estero,,,,,,,,
"Grupo ICK S.A.","Andes 101 e Independencia 56","Santiago del Estero",santiago-del-estero,,,http://www.grupoick.com.ar/,,,,,
"Grupo Infobae SA","Costa Rica 5639",CABA,buenos-aires,"11 4852 8800",,,,,,,
"Grupo La Nación",,,,,,,,,,,
"Grupo La Nación",,,,,,,,,,,
"GRUPO MEDIA ATLANTICO S.A.",,,,,,,,,,,
"Grupo Octubre &#8211; Fundación Octubre Trabajadores de Edificios","Venezuela 370, CABA",,,5354-6610,,http://www.octubre.com/,,,,,
"Grupo Olmos Holding",,,,,,,,,,,
"GRUPO TELEVISA, S.A.B.",,,,,,,,,,,
"Inversora de Medios y Comunicaciones SA",,,,,,,,,,,
"Medios Andinos S.A.","Comandante Salas 200","San Rafael",mendoza,,,,,,,,
"Nuevo Vehículo Aire 1 SA",,,,,,,,,,,
"Nuevo Vehículo Aire 2  G Uno SA",,,,,,,,,,,
"OP Investments SA",,,,,,,,,,,
"Perfil Network SA","California 2731",CABA,buenos-aires,,,,,,,,
Prisa,"Avenida Rivadavia 835",CABA,buenos-aires,"11 4338 4250",enrique.melina@prisaradio.com.ar,,,,,,
"SFMCP &#8211; Sistema Federal de Medios y Contenidos Publicos","Leandro N. Alem 339",CABA,buenos-aires,,,,,,,,
"Sistema Integrado de Medios Públicos de la Ciudad Autónoma de Buenos Aires","Uspallata 3160",CABA,buenos-aires,,,,,,,,
"SMI South Media Investments SA","Avenida Córdoba 657",CABA,buenos-aires,"5077 6900",,,,,,,"Indalo Media - Grupo Ceibo. En transacciones de compra por OP Investments SA (Ignacio Rosner)
"
"Sony Pictures Television","Otto Krause 4650",Tortugas,buenos-aires,,,,,,,,
"Time Warner Company","Defensa 599",CABA,buenos-aires,"11 4318 3100",,,,,,,
"Time Warner Entertainment Company, L.P. + Ole Communications Group","Alem 855",CABA,buenos-aires,"11 4312 9555",recepcion_arg@hbo-la.com,,,,,,
"Uno Multimedios SA","Costa Rica 5546",CABA,buenos-aires,,,,,,,,
"Viacom, Inc.",,,,,,,,,,,
"Zarova SA","Fitz Roy 1650",CABA,buenos-aires,,,,,,,,
