NOMBRE,DOMICILIO,LOCALIDAD,PROVINCIA,TELEFONO,EMAIL,SITIOWEB,TIPO,AUDIENCIA,ALCANCE,PAUTA,COMENTARIOS
#Locuratripera,"Diagonal 80 N° 815, La Plata",,,,,http://www.eldia.com/locuratripera,Portal,,La Plata,,
#METRO360 La Angostura,,,,,,http://www.metro951.com/,Radio,,,,
#METRO360 Mar del Plata,"Alberdi 445 3ro. A, Torre Manantiales, MDP",,,,,http://www.metro951.com/,Radio,,Mar del Plata,,
#METRO360 Ostende,,,,,,http://www.metro951.com/,Radio,,,,
#Soypincharrata,"Diagonal 80 N° 815, La Plata",,,,,http://www.eldia.com/locuratripera,Portal,,La Plata,,
0223.COM.AR,"Av. Colon Nº 3073 7ºB, Mar del Plata",,,,info@0223.com.ar,0223.COM.AR,Portal,,Nacional,,
10 Libre,,,,,,,Proveedor de Internet Free,,Discontinuado,,
10 Móvil,,,,,,,Servicios WAP/SMS,,Discontinuado,,
10 Música,,,,,,http://www.10musica.com/,Portal,,Discontinuado,,
10 Tango,,,,,,http://www.10tango.com/,Portal,,Discontinuado,,
100% Lucha Revista,Magallanes 1346,,,,editor@magallanesmedia.com.ar,,Revista,,Discontinuado,,
103 Universo,"H. Yrigoyen 2641, Mar del Plata",,,0223-494-7700,,http://www.lu9mardelplata.com.ar/,Radio,,,,
360 TV,"Gorriti 5963, C.A.B.A. Argentina (CP1414)",,,72 11 4556 9200,,http://www.360tvdigital.com/,TV Paga/TDT,,Nacional,"3,008,907.63",
7 Minutos,,,,,,,Portal,,Discontinuado,,
A&#038;E,,,,4328 8804,info@expressnews.com.ar,,TV Paga,,Nacional,,
A&#038;E hd,,,,4328 8804,info@expressnews.com.ar,,TV Paga,,Nacional,,
A24,,,,,,,TV Paga,,,,
Abrazo de Gol,5550-8600,,,cronicaweb@grupocronica.com.ar,"Combate de los Pozos 639, CABA",,Suplemento,,,,
Al Rugby,Paseo Colón 1196,,,,,http://www.alrugby.com/,Portal,,,,
Alfabeto &#038; Sopa,,,,,,,,,Discontinuado,,
Almacén de Premios,,,,,,,,,Discontinuado,,
AM 1020 LRA 58 RÍO MAYO,,,,,,http://www.radionacional.com.ar/category/lra-58-rio-mayo/,Radio,,Chubut,"3,380.00",
AM 1030 RADIO DEL PLATA,"Gorriti 5963, C.A.B.A. Argentina (CP1414)",,,54 11 4556 9200,,https://www.amdelplata.com/,,,Buenos Aires,"8,019,963.50",
AM 1070 RADIO EL MUNDO,"Maipú 1210, piso 8, CABA",,,,,http://www.arteargentina.com/,,,Nacional,"1,317,200.00",
AM 1160 / FM 92.5  LRA 57 RADIO NACIONAL EL BOLSON,,,,,,http://www.radionacional.com.ar/category/lra-57-el-bolson/,Radio,,Rio Negro,"2,960.00",
AM 1230 LT2 Radio 2,,,,03757 420-060,,,Radio,,,"807,504.00",
AM 1260 LT 14 RADIO GENERAL URQUIZA,,,,,,http://www.radionacional.com.ar/category/lt-14-gral-urquiza-parana/,Radio,,Entre Rios,"165,630.00",
AM 1430 Catamarca,,,,,,,,,,,
AM 1440 Santiago del Estero,"Misiones 541, Santiago del Estero",,,(0385) 421-1913,,,,,Sin transmitir,,
AM 1500 Mendoza,,,,,,,,,,,
AM 1560 LT 11 RADIO GRAL. RAMÍREZ. CONCEPCIÓN DEL URUGUAY,,,,,,http://www.radionacional.com.ar/category/lt-11-gral-ramirez-c-del-uruguay/,Radio,,Entre Rios,"64,499.36",
AM 1620,"H. Yrigoyen 2629, Mar del Plata",,,0223-494-1428,,,Radio,,Mar del Plata,,
AM 221 LRK Radio Ciudad Perico,"Dr. Horacio Guzmán 496, Bº Mariano Moreno",,,(0388) 4230035,comercial@radiovisionjujuy.com.ar,,,,Jujuy,,
AM 560 LRA 9 ESQUEL,,,,,,http://www.radionacional.com.ar/category/lra-9-esquel/,Radio,,"Esquel, Chubut","3,360.00",
AM 580 Radio Universidad,Miguel de Mojica 1600,,,4105000,,http://www.cba24n.com.ar/streamam.html,Radio,,Cordoba,"705,934.18",
AM 590 LRA 30 Bariloche,,,,,,http://www.radionacional.com.ar/category/lra-30-bariloche/,Radio,,Rio Negro,"3,552.00",
AM 590 LV12 RADIO INDEPENDENCIA,"Laprida 530 San Miguel De Tucumán, Tucuman",,,0381-4845100,contacto@lv12.com.ar,http://www.lv12.com.ar/,Radio,,Tucumán,"678,288.14",
AM 620 / FM 97.3 &#8211; LV 4 RADIO SAN RAFAEL,,,,,,http://www.radionacional.com.ar/category/lv-4-san-rafael/,Radio,,Mendoza,"160,106.85",
AM 620 LRA 26 Resistencia,,,,,,http://www.radionacional.com.ar/category/lra-26-resistencia/,Radio,,Resistencia,"3,552.00",
AM 630 LS5 Radio Rivadavia,"Arenales 2467, CABA",,,5026 8630,,http://www.rivadavia.com.ar/,Radio,,"CABA, GBA","5,962,223.75",
AM 630 LU 4 RADIO PATAGONIA C. RIVADAVIA,,,,,,http://www.radionacional.com.ar/category/lu-4-patagonia-argentina/,Radio,,Chubut,"76,465.21",
AM 670 LRA 11 COMODORO RIVADAVIA,,,,,,http://www.radionacional.com.ar/category/lra-11-comodoro-rivadavia/,Radio,,"Comodoro Rivadavia, Chubut","16,410.00",
AM 680 LT3,,,,(0341) 52 82 680,,lt3.com.ar/,Radio,,Rosario,"903,962.66",
AM 710 / FM 93.9 &#8211; LRA 17 NACIONAL ZAPALA,,,,,,http://www.radionacional.com.ar/category/lra-17-zapala/,Radio,,Neuquen,"2,600.00",
AM 710 Radio 10,Uriarte 1899,,,,,https://www.minutouno.com/radio10,Radio,,,"5,021,999.80",
AM 730 / FM 88.1 &#8211; LU23 RADIO LAGO ARGENTINO CALAFATE,,,,,,http://www.radionacional.com.ar/category/lu-23-calafate/,Radio,,Santa Cruz,"2,600.00",
AM 730 LRA 27 RADIO NACIONAL CATAMARCA,,,,,,http://www.radionacional.com.ar/category/lra-27-catamarca/,Radio,,Catamarca,"3,760.00",
AM 740 LRA 55 RÍO SENGUER,,,,,,http://www.radionacional.com.ar/category/lra-55-alto-rio-senguer/,Radio,,Chubut,"3,360.00",
AM 750,"Venezuela 370 2do. Piso, CABA",,,,,https://750.am/,Radio,,"CABA, GBA","1,009,643.40",
AM 790 RADIO NACIONAL LRA 1 BUENOS AIRES,,,,,,,,,,"133,702.50",
AM 950 Belgrano,Freire 932,,,4010-7127,info@am950belgrano.com,http://www.am950belgrano.com/,Radio,,Buenos Aires,"2,682,357.20",
AM Sports,"Cochabamba 1153, CABA",,,,info@amsports.com.ar,http://www.amsports.com.ar/,,,,,
Amadeus Cultura Musical,"Bernardo de Irigoyen 972, CABA",,,,,http://www.culturamusical.com.ar/,Radio,,,,
Ámbito Financiero,Paseo Colón 1196,,,,,http://www.ambito.com/,Diario,,,"3,885,471.40",
ambito.com,Paseo Colón 1196,,,,,http://www.ambito.com/,Portal,,,"28,000.00",
América Interior,,,,,,,,,,,
América Internacional,,,,,,,,,,,
América TV,,,,,,,,,,,
American Carlos V Hotel &#038; Casino,"JUAN B. ALBERDI 340, TERMAS DE RÍO HONDO, SANTIAGO DEL ESTERO",,,(03858) 15460212,reservascarlosv@amerian.com,http://ameriancarlosv.com.ar/,Hotel,,,,
ANIMAL PLANET,"Av. del Libertador 101, Vicente López",,,4000 4031,lucas_Puliani@discovery.com,,TV Paga,,Nacional,,
APERTURA,Paseo Colón 746 - 1º (C1063ACU),,,(+54 11) 4121-9300/9344/9241,publicidad@cronista.com,http://www.apertura.com/,Diario/Periódico,29.000 Ejemplares,CABA/GBA,,
Apertura.com,Paseo Colón 746 - 1º (C1063ACU),,,(+54 11) 4121-9300/9344/9241,publicidad@cronista.com,http://www.apertura.com/,Digital,Usuarios  Únicos + de 677.000,Nacional,,
AR,,,,,,,,,,,
Arena Beach,Ruta 11 200 mt. Faro,Mar del Plata,Buenos Aires,,,,Balneario Estival y Eventos,,Mar del Plata,,
Argenprop.com,,,,0810-999-2527,,http://www.argenprop.com,Portal de Clasificados,,,,
ARPEGGIO,Uruguay 459 4to. Piso,,,,,,Radio,,,,
ARQ,"Piedras 1743, CABA",,,,,https://www.clarin.com/arq/,Revista,,,,
ASPEN 102.3,"Av. Dorrego 1782, CABA",,,,aspen@fmaspen.com,https://www.fmaspen.com/,Radio,,,,
Atlántica Latina,"Córdoba 1863/5, Mar del Plata",,,0223-4947825,,http://www.lu6.com.ar/,Radio,,Mar del Plata,,
Atlántida Libros,"Azopardo 565, CABA",,,,,http://www.atlantidalibros.com.ar/,,,,,
Avenida del Mar,"Las Heras 2128, Mar del Plata",,,,,,Apart Hotel,,Mar del Plata,,
AVP,Av. San Juan 141,,,,,,Publicidad Led en Vía Pública,,,,
Axn,,,,,,https://la.axn.com/,TV Paga,,,,
Axn hd,,,,,,https://la.axn.com/,TV Paga,,,,
AXN Latinoamérica,,,,,,https://la.axn.com/,TV Paga,,,,
BA Times,"California 2715, CABA",,,,,http://www.batimes.com.ar/,Portal,,,,
Baby TV,Honduras 5517,,,4103-1100,,https://foxplay.com,TV Paga,,Nacional,,
Bacanal,Freire 948,,,4010-8200,,http://www.bacanal.com.ar/,Revista,,Nacional,,
BAE Negocios,"Combate de los Pozos 639, CABA",,,,,https://www.baenegocios.com/,Diario,,,"5,759,715.18",
"Bailando por un Sueño, Revista",,,,,,,,,Discontinuado,,
Baja Libros,Costa Rica 5639,,,0800 444 1349,info@bajalibros.com,https://www.bajalibros.com/AR,Portal – On Demand de Literatura,,,,
Baja Música,,,,,,www.bajamusica.com/index.html,Portal,,Discontinuado,,
Banco Audiovisual de Contenidos Universales Argentino,,,,,,http://www.bacua.gob.ar/,Fuente de contenido audiovisual,,,,
Bariloche2000.com,,,,,,,,,,,
BIDI,Costa Rica 5639,,,,,https://www.bidi.la/,Portal – Biblioteca Digital,,,,
Biencasero.com,"Piedras 1743, CABA",,,,,http://biencasero.clarin.com/,Portal,,,,
Big Deal,Humboldt 1550,,,,,http://www.bigdeal.com.ar/,Portal de Descuentos,,,,
BIGBANGNEWS.COM,"Humboldt 1493, Palermo",,,5747-9782,dhandera@bigbangnews.com,https://www.bigbangnews.com/,Portal,,,"1,282,500.00",
Bijouterie,Magallanes 1346,,,,editor@magallanesmedia.com.ar,,Revista,,Discontinuado,,
Billboard,Carlos Pellegrini 1672 - Martínez,,,,,http://www.billboard.com.ar/,Revista,,,,
Billiken,"Azopardo 565, CABA",,,,,,Revista,Venta 2.900.000/anual - 13.050.000 Lectores,,,
Blogs de la Gente,,,,,,,,,Discontinuado,,
BLUE 100.7,Freire 932,,,,,http://www.bluefm.com.ar/,Radio,,,"1,503,626.66",
Booma.TV,"Azopardo 565, CABA",,,,,,Web,,Discontinuado,,
Boomerang,"Defensa 599 2ndo piso (1065), CABA",,,011 4318-3100,Carina.Risso@turner.com,http://www.boomerangla.com/,TV Paga,,Todo el país,,
Brando,"Av. Del Libertador 101, Vicente López",,,,,https://www.conexionbrando.com/,Revista,,Todo el pais,,
Brava,,,,,,,,,,,
Brava San Juan,,,,,,,,,,,
Brava San Rafael,,,,,,,,,,,
BSE,Reconquista 353,,,,,https://www.bse.com.ar/,Banco,,,,
Buenas Ideas,Magallanes 1346,,,,editor@magallanesmedia.com.ar,http://www.buenasideas.com.ar/,Revista,,,,
Buenos Aires Herald,Av. San Juan 141,,,,,http://www.buenosairesherald.com/,Diario,,Discontinuado,"227,307.24",
Buscainmueble.com,"Tacuarí 1743, CABA",,,0810-999-2527,,https://www.buscainmueble.com/,Portal de Clasificados,,,,
C5N,"Olleros 3555, CABA",,,,,http://www.c5n.com/,TV Paga/TDT,,,"5,075,439.45",
Cadena 3 Argentina,,,,,,http://www.cadena3.com/,Radio,,Nacional,,
Cadena 3 Buenos Aires,,,,,,http://www.cadena3.com/,Radio,,Buenos Aires,,
