TIPO,NOMBRE,RELACION,TIPO,ENTIDAD,PORCENTAJE
Dueño,"Alberto Ciro Gollán","Participa en",Empresa,"Grupo Televisión Litoral S.A.",19.84%
Dueño,"Alberto Fontevecchia","Participa en",Empresa,"Editorial Perfil SA",50%
Dueño,"Alberto Fontevecchia","Participa en",Empresa,"Perfil Periódicos SA",50%
Dueño,"Alberto Fontevecchia","Participa en",Empresa,"Perfil TV SA",50%
Dueño,"Alberto García Hamilton","Participa en",Empresa,"LA GACETA S.A.",100%
Dueño,"Alberto Pierri","Participa en",Empresa,"Diario Digital SA",50%
Dueño,"Alberto Pierri","Participa en",Empresa,"Eventos Producciones SA",50%
Dueño,"Alberto Pierri","Participa en",Empresa,"Facilcred SA",50%
Dueño,"Alberto Pierri","Participa en",Empresa,"Full Express SRL",50%
Dueño,"Alberto Pierri","Participa en",Empresa,"NRG SA",50%
Dueño,"Alberto Pierri","Participa en",Empresa,"Papelera Tucumán SA",50%
Dueño,"Alberto Pierri","Participa en",Empresa,"TeleCentro SA",50%
Dueño,"Alberto Pierri","Participa en",Empresa,"Unionpel SA",50%
Dueño,"Alfredo L. Vila Santander","Participa en",Empresa,"Uno Multimedios SA",46%
Dueño,"Ana Cecilia Gollán","Participa en",Empresa,"Grupo Televisión Litoral S.A.",19.84%
Dueño,"Angel Cardoso","Participa en",Empresa,"Grupo Televisión Litoral S.A.",3.24%
Dueño,"Antonio Mata","Participa en",Empresa,"Papel 2.0 SA",60%
Dueño,"Antranik Eurnekian","Participa en",Empresa,"América TV SA",15.3%
Dueño,"Antranik Eurnekian","Participa en",Empresa,"Junín TV SA",15%
Dueño,"Avelino Méndez","Participa en",Empresa,"Grupo Televisión Litoral S.A.",15.22%
Dueño,BBC,"Participa en",Empresa,"GP Producciones SA",35%
Dueño,"Beatriz María Gollán de Méndez","Participa en",Empresa,"Grupo Televisión Litoral S.A.",19.84%
Dueño,"Belisario Moneta","Participa en",Holding,"Corporación Infomedia SA",25%
Dueño,"Booth American Company Investment LLC","Participa en",Holding,"Grupo Clarín S.A.",9%
Dueño,"Carlos A. Aguinaco","Participa en",Empresa,"San Luis CTV SA",33.33%
Dueño,"Carlos Ernesto Daumas","Participa en",Empresa,"Grupo Televisión Litoral S.A.",12.88%
Dueño,"Claudio Belocopitt","Participa en",Empresa,"Radiodifusora Del Plata SA",5%
Dueño,"Claudio Belocopitt","Participa en",Holding,"Zarova SA",50%
